"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Power Rangers","j4","Disruptor","258","0.53","9168","1189","788","2279","880","235","0","3554","0","0","0","0","0","54","0","0","200"
"Power Rangers","barash","Queen of Pain","365","0.75","12970","3046","3679","1301","880","353","0","3554","0","0","0","0","0","198","0","0","0"
"Power Rangers","Bignum","Winter Wyvern","283","0.58","10056","2082","1684","1861","880","25","0","3554","0","0","0","0","0","0","0","0","0"
"Power Rangers","chshrct","Natures Prophet","379","0.78","13468","3487","1083","890","880","2412","1187","3469","0","0","0","0","0","0","0","0","0"
"Power Rangers","TpoH 2","Juggernaut","485","0.99","17234","6479","2840","874","1241","1997","225","3554","0","0","0","0","0","70","0","0","0"
"Alliance","s4","Windranger","494","1.01","17554","6298","2711","809","1457","734","0","3554","917","46","602","0","0","404","0","0","50"
"Alliance","Akke","Bane","281","0.58","9985","1753","1053","1317","1280","16","0","3554","400","84","500","0","0","0","0","0","50"
"Alliance","Loda","Tiny","642","1.32","22813","7435","3345","886","1874","2651","1372","3434","280","388","636","0","0","381","0","0","50"
"Alliance","AdmiralBulldog","Nyx Assassin","306","0.63","10874","2036","829","1959","1280","57","0","3554","400","84","500","0","0","211","0","0","0"
"Alliance","Mynuts","Io","290","0.59","10305","598","1305","1402","1482","585","0","3468","400","118","500","0","0","371","0","0","0"
