"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Alliance","s4","Batrider","373","0.73","15969","2451","883","1823","1680","3288","0","4185","200","0","500","0","0","662","0","0","250"
"Alliance","Akke","Undying","252","0.49","10789","453","1640","1872","1680","0","0","4281","200","0","500","0","0","0","0","0","0"
"Alliance","Loda","Juggernaut","542","1.05","23204","8851","4999","575","2518","689","440","4281","200","0","500","0","0","169","0","0","50"
"Alliance","Mynuts","Disruptor","284","0.55","12159","739","1966","2289","1843","347","0","4281","200","0","500","0","0","0","0","0","50"
"Alliance","AdmiralBulldog","Natures Prophet","505","0.98","21620","9347","1095","882","2158","2126","464","4281","523","0","738","0","0","0","0","0","50"
"OG","Simbaaa","Witch Doctor","194","0.38","8306","1784","301","643","680","370","0","4281","200","14","0","0","0","0","0","0","50"
"OG","Cr1t","Io","195","0.38","8348","886","469","991","680","283","0","4281","200","188","0","0","0","348","0","0","50"
"OG","Miracle 2","Storm Spirit","480","0.93","20550","7275","3370","529","841","2546","356","4281","529","336","0","0","0","506","0","0","50"
"OG","MoonMeander","Slardar","262","0.51","11217","2999","588","1012","680","854","341","4209","200","192","0","0","0","0","0","0","100"
"OG","N0tail","Tiny","554","1.08","23718","10023","3024","292","898","2170","1913","4158","200","991","0","0","0","0","0","0","0"
