"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Alliance","s4","Windranger","495","0.87","28000","9778","3662","834","2094","799","761","5657","1617","0","1721","0","0","881","175","0","100"
"Alliance","Akke","Dazzle","249","0.44","14085","2823","0","669","1906","283","0","5657","800","0","1500","0","0","214","175","0","100"
"Alliance","Loda","Gyrocopter","593","1.04","33543","12584","1922","645","2590","2648","3397","5657","1163","0","1993","0","0","849","175","0","0"
"Alliance","AdmiralBulldog","Dark Seer","476","0.83","26925","10944","1711","879","1720","3534","0","5657","800","0","1500","0","0","0","175","0","50"
"Alliance","Mynuts","Tusk","337","0.59","19062","4464","1932","1290","1720","997","38","5657","800","0","1500","0","0","532","175","0","0"
"C9","1437","Ancient Apparition","261","0.46","14763","2913","1195","888","520","70","0","5591","0","21","0","3420","0","0","0","0","100"
"C9","MSS","Earthshaker","175","0.31","9899","2456","452","661","520","213","0","5657","0","0","0","0","0","0","0","0","0"
"C9","Ritsu","Spectre","504","0.88","28509","17261","1937","277","899","2268","0","5456","0","143","0","0","0","0","0","0","50"
"C9","Brax","Queen of Pain","383","0.67","21664","12217","1713","304","520","969","0","5657","0","102","0","0","0","263","0","0","0"
"C9","SVG","Winter Wyvern","210","0.37","11879","4371","0","1052","520","81","0","5605","0","0","0","0","0","153","0","0","100"
