"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Alliance","s4","Gyrocopter","414","0.95","6983","3242","818","327","313","490","0","1687","0","0","0","0","0","70","0","0","50"
"Alliance","Akke","Lich","243","0.56","4099","277","667","1322","160","0","0","1682","0","0","0","0","0","0","0","0","0"
"Alliance","Loda","Tiny","615","1.41","10373","2032","4257","987","160","872","0","1687","0","0","0","0","0","381","0","0","0"
"Alliance","Mynuts","Disruptor","196","0.45","3306","491","267","569","160","97","0","1687","0","0","0","0","0","0","0","0","50"
"Alliance","AdmiralBulldog","Night Stalker","401","0.92","6764","1364","1452","1804","160","131","0","1687","0","180","0","0","0","0","0","0","0"
"Vega","Cema","Dazzle","215","0.49","3626","563","414","384","0","432","0","1687","0","0","0","0","0","0","0","0","0"
"Vega","Solo","Io","271","0.62","4571","354","1339","965","0","68","0","1635","0","0","0","0","0","163","0","0","0"
"Vega","Noone","Razor","231","0.53","3896","1410","0","224","0","380","0","1687","0","0","0","0","0","0","0","0","50"
"Vega","Mag","Tusk","259","0.60","4369","488","1259","735","0","0","0","1687","0","0","0","0","0","54","0","0","0"
"Vega","9pashaebashu","Ember Spirit","368","0.85","6207","2751","1033","429","0","163","0","1687","0","0","0","0","0","0","0","0","0"
