"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Alliance","s4","Queen of Pain","541","1.11","19520","6027","4495","912","1440","418","215","3608","772","0","1108","0","0","357","0","0","200"
"Alliance","Akke","Undying","280","0.57","10103","1206","539","1629","1440","121","0","3608","400","0","1000","0","0","75","0","0","0"
"Alliance","Loda","Clinkz","494","1.01","17825","4762","2452","569","2138","2455","0","3608","400","90","1113","0","0","281","0","0","0"
"Alliance","Mynuts","Lina","365","0.75","13170","4040","1529","816","1440","263","0","3608","400","0","1000","0","0","54","0","0","50"
"Alliance","AdmiralBulldog","Broodmother","529","1.08","19087","4736","2135","740","2010","2753","742","3608","685","120","1276","0","0","327","0","0","0"
"NiP 2","Handsken","Jakiro","262","0.54","9453","1105","384","1991","400","539","0","3608","0","752","0","0","0","0","0","0","50"
"NiP 2","Limmp","Alchemist","495","1.01","17861","5815","0","893","400","1136","1191","3554","0","286","0","0","0","1035","0","3274","50"
"NiP 2","Era","Phantom Lancer","418","0.85","15082","6570","2097","118","562","696","0","3608","0","700","0","0","0","74","0","0","50"
"NiP 2","Sealkid","Keeper of the Light","257","0.53","9273","1841","1015","1240","400","288","0","3608","0","258","0","0","0","0","0","0","0"
"NiP 2","jonassomfan","Tusk","378","0.77","13639","2194","5340","508","557","52","0","3608","0","1152","0","0","0","192","0","0","50"
