"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Alliance","s4","Queen of Pain","513","0.92","28072","11287","3078","2622","3000","1613","0","5047","0","450","200","0","0","391","0","0","50"
"Alliance","Akke","Witch Doctor","286","0.51","15650","757","3629","2901","2097","79","0","5439","0","150","500","0","0","0","0","0","100"
"Alliance","Loda","Alchemist","845","1.51","46240","15486","900","3010","1920","2325","0","5115","0","300","200","0","0","2275","0","14424","50"
"Alliance","Mynuts","Ogre Magi","241","0.43","13188","1234","1453","2785","1800","0","0","5248","0","0","500","0","0","0","0","0","0"
"Alliance","AdmiralBulldog","Beastmaster","288","0.52","15760","4558","705","2033","2127","221","0","5368","0","0","644","0","0","0","0","0","50"
"NiP 2","Handsken","Undying","321","0.57","17566","1523","1207","2007","2360","588","231","5354","1034","984","1500","0","0","398","175","0","0"
"NiP 2","Limmp","Shadow Fiend","576","1.03","31520","9184","2706","838","3029","3334","2068","5329","1082","949","1744","0","0","965","175","0","50"
"NiP 2","Era","Juggernaut","540","0.97","29550","6903","2172","1414","3650","3280","1939","5447","1329","1140","2024","0","0","142","175","0","0"
"NiP 2","Sealkid","Crystal Maiden","283","0.51","15486","510","2050","1180","2360","610","0","5397","800","773","1500","0","0","0","175","0","100"
"NiP 2","jonassomfan","Puck","401","0.72","21944","6375","1329","1531","2583","1483","0","5340","800","432","1500","0","0","326","175","0","0"
