"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Vega","Cema","Witch Doctor","277","0.47","16569","1828","2610","1855","1718","1849","0","5982","400","0","275","0","0","54","0","0","50"
"Vega","Solo","Io","220","0.37","13160","1596","959","1555","1560","482","0","5872","400","150","412","0","0","121","0","0","0"
"Vega","Noone","Bristleback","686","1.17","41034","15824","8344","1014","2377","1982","3393","5839","1125","324","275","0","0","486","0","0","0"
"Vega","Mag","Slardar","404","0.69","24166","7130","848","2180","1560","1774","227","5982","400","150","275","3230","0","482","0","0","0"
"Vega","9pashaebashu","Centaur Warrunner","392","0.67","23448","9531","2794","1185","1560","1008","230","5982","400","165","275","0","0","383","0","0","0"
"Alliance","s4","Brewmaster","419","0.71","25063","7764","3304","4335","1499","561","67","5803","400","0","638","0","0","363","175","0","50"
"Alliance","Akke","Undying","258","0.44","15433","1421","1648","4013","1120","0","0","5982","400","0","500","0","0","66","175","0","50"
"Alliance","Loda","Razor","450","0.77","26917","12154","2542","1501","1120","1682","454","5862","400","0","622","0","0","250","175","0","100"
"Alliance","Mynuts","Queen of Pain","483","0.82","28891","6754","10423","1828","1335","884","64","5926","604","0","500","0","0","378","175","0","0"
"Alliance","AdmiralBulldog","Doom","517","0.88","30925","7196","5233","2640","1120","1864","879","5875","618","0","500","0","0","98","175","4575","0"
