"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Newbee.Y","Sccc","Ember Spirit","427","0.84","17472","6313","2935","1206","1187","537","708","3988","0","0","0","0","0","546","0","0","0"
"Newbee.Y","Sgua_Li","Dark Seer","328","0.65","13421","6323","1091","316","780","677","0","4023","0","90","0","0","0","82","0","0","0"
"Newbee.Y","le","Night Stalker","210","0.41","8593","1935","341","927","780","92","388","4092","0","0","0","0","0","62","0","0","0"
"Newbee.Y","Mrrr","Winter Wyvern","199","0.39","8143","1858","512","581","780","177","0","4044","0","0","0","0","0","125","0","0","50"
"Newbee.Y","Newbee.Y.JiaJia","Juggernaut","500","0.99","20459","8524","2789","426","1126","2752","802","4092","0","0","0","0","0","0","0","0","0"
"Secret","Puppey","Dazzle","244","0.48","9984","872","295","510","2120","652","0","4092","600","0","775","0","0","88","0","0","0"
"Secret","MiSeRY","Magnus","345","0.68","14117","4698","329","980","2120","60","0","4092","600","0","775","0","0","428","0","0","50"
"Secret","Eternal Envy","Anti Mage","798","1.58","32653","9771","4036","396","3380","6389","2560","4092","796","0","1125","0","0","116","0","0","50"
"Secret","w33","Windranger","488","0.96","19968","6649","2668","406","2654","587","488","4092","1184","0","775","0","0","478","0","0","50"
"Secret","PieLieDie","Tusk","278","0.55","11375","1442","592","1011","2120","643","0","4092","600","0","775","0","0","127","0","0","0"
