"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Mineski","Jay","Windranger","349","0.72","11795","4967","736","232","788","1367","0","3380","0","0","0","0","0","186","175","0","0"
"Mineski","ryOyr","Dark Seer","343","0.71","11592","6054","551","141","400","908","0","3380","0","0","0","0","0","0","175","0","0"
"Mineski","JessieVash","Undying","157","0.32","5306","589","0","674","400","0","0","3380","0","0","0","0","0","0","175","0","50"
"Mineski","Julz","Winter Wyvern","206","0.42","6962","1487","999","195","400","281","0","3380","0","0","0","0","0","58","175","0","0"
"Mineski","Kuku","Anti Mage","510","1.05","17236","8502","372","433","400","2437","1393","3298","0","0","0","0","0","164","175","0","0"
"Secret","Puppey","Dazzle","322","0.66","10882","2766","828","749","1460","139","128","3380","400","0","1000","0","0","0","0","0","50"
"Secret","MiSeRY","Tidehunter","374","0.77","12640","2927","1217","959","1460","525","595","3380","400","125","1000","0","0","62","0","0","0"
"Secret","Eternal Envy","Queen of Pain","628","1.29","21224","9364","2361","841","1460","1256","479","3380","760","0","1000","0","0","374","0","0","0"
"Secret","w33","Shadow Fiend","715","1.47","24164","8675","2559","395","2635","3578","133","3380","714","250","1538","0","0","330","0","0","0"
"Secret","PieLieDie","Night Stalker","326","0.67","11017","2058","238","1188","1460","596","93","3380","400","275","1000","0","0","263","0","0","100"
