"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Mineski","Jay","Queen of Pain","454","0.82","24265","11457","1809","342","680","2293","664","5345","0","1106","0","0","0","581","0","0","50"
"Mineski","ryOyr","Dark Seer","382","0.69","20417","10970","0","1532","680","1730","0","5345","0","209","0","0","0","0","0","0","0"
"Mineski","JessieVash","Night Stalker","195","0.35","10422","1849","1144","781","680","249","0","5345","0","350","0","0","0","0","0","0","50"
"Mineski","Kuku","Phantom Lancer","436","0.78","23303","8099","2753","266","870","3260","1918","5275","0","96","0","0","0","770","0","0","0"
"Mineski","Julz","Disruptor","229","0.41","12239","1967","1153","1518","1163","844","0","5345","0","185","0","0","0","0","0","0","100"
"Secret","Puppey","Beastmaster","310","0.56","16569","4550","197","1010","1480","1926","0","5345","600","0","1000","0","0","267","150","0","100"
"Secret","MiSeRY","Magnus","323","0.58","17263","4244","0","1480","1480","2515","0","5345","600","0","1000","0","0","485","150","0","0"
"Secret","Eternal Envy","Ember Spirit","712","1.28","38054","19189","4324","509","1679","2630","2361","5345","600","0","1241","0","0","138","150","0","0"
"Secret","w33","Windranger","466","0.84","24906","10580","1077","1138","2248","847","703","5345","1282","0","1000","0","0","433","150","0","150"
"Secret","PieLieDie","Bane","229","0.41","12239","454","2239","569","1670","230","0","5345","600","0","1000","0","0","0","150","0","50"
