"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Secret","Puppey","Dazzle","266","0.55","9467","988","1512","405","1480","519","0","3559","200","0","500","0","160","0","175","0","0"
"Secret","MiSeRY","Slardar","295","0.61","10500","2568","293","1278","1480","49","0","3559","200","0","500","0","440","0","175","0","0"
"Secret","Eternal Envy","Anti Mage","773","1.59","27513","10926","2466","376","2521","4114","2117","3559","200","0","650","0","400","0","175","0","50"
"Secret","w33","Tiny","531","1.09","18899","6157","3725","817","1699","437","0","3559","431","0","638","0","680","626","175","0","0"
"Secret","PieLieDie","Bounty Hunter","340","0.70","12101","412","524","1844","1480","0","0","3559","200","0","500","0","3325","128","175","0","0"
"VG","Super","Shadow Fiend","403","0.83","14344","6794","1062","561","580","1310","41","3559","200","0","0","0","0","281","0","0","0"
"VG","Fenrir","Vengeful Spirit","186","0.38","6620","416","0","1455","751","166","0","3559","200","0","0","0","0","0","0","0","100"
"VG","iceiceice","Morphling","242","0.50","8613","2119","0","742","580","141","0","3559","200","0","0","1140","0","148","0","0","0"
"VG","BurNIng","Juggernaut","511","1.05","18188","8882","1139","470","736","1214","1566","3559","416","0","0","0","0","260","0","0","0"
"VG","fy","Windranger","198","0.41","7047","1062","1278","169","580","62","0","3559","200","0","0","0","0","106","0","0","50"
