"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Newbee.Y","Sccc","Queen of Pain","691","1.48","17938","5862","4927","961","1863","537","0","2596","380","0","500","0","0","335","0","0","0"
"Newbee.Y","Mrrr","Earthshaker","348","0.74","9034","1079","1310","1730","1240","217","0","2596","200","0","500","0","0","83","0","0","100"
"Newbee.Y","Newbee.Y.JiaJia","Huskar","378","0.81","9813","2808","337","698","1754","469","0","2596","200","0","755","0","0","211","0","0","0"
"Newbee.Y","Sgua_Li","Clockwerk","450","0.96","11682","1544","3879","1522","1240","19","0","2596","200","0","500","0","0","189","0","0","0"
"Newbee.Y","le","Winter Wyvern","325","0.69","8437","1831","925","1062","1240","0","0","2596","200","0","500","0","0","0","0","0","100"
"Secret","Puppey","Dazzle","196","0.42","5088","1390","575","327","0","63","0","2596","0","0","0","0","0","112","0","0","50"
"Secret","MiSeRY","Nyx Assassin","270","0.58","7009","2954","998","402","0","0","0","2596","0","0","0","0","0","62","0","0","0"
"Secret","Eternal Envy","Wraith King","328","0.70","8515","3853","616","470","0","303","631","2596","0","0","0","0","0","66","0","0","0"
"Secret","w33","Shadow Fiend","357","0.76","9267","2889","562","207","0","2925","0","2596","0","0","0","0","0","100","0","0","0"
"Secret","PieLieDie","Bane","155","0.33","4024","615","387","381","0","0","0","2596","0","0","0","0","0","0","0","0","50"
