"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EG","ppd","Bane","255","0.53","8050","643","818","845","1320","0","0","3157","200","32","604","0","0","280","175","0","0"
"EG","Sumail","Timbersaw","603","1.26","19036","6380","4204","736","1488","2102","0","3157","200","67","500","0","0","0","175","0","50"
"EG","Universe","Tusk","428","0.90","13511","4902","1558","1317","1320","88","0","3157","200","67","500","0","0","265","175","0","0"
"EG","Fear","Undying","321","0.67","10133","1390","1240","1356","1739","315","0","3157","200","33","500","0","0","0","175","0","0"
"EG","Arteezy","Tiny","452","0.95","14269","3998","873","1173","1964","1022","227","3117","570","131","500","0","0","452","175","0","50"
"VP 2","Fng","Ancient Apparition","173","0.36","5461","661","634","559","240","0","0","3157","0","0","0","0","0","0","0","0","150"
"VP 2","Illidan","Weaver","349","0.73","11017","4869","1587","585","240","297","0","3157","0","150","0","0","0","78","0","0","0"
"VP 2","G","Lina","421","0.88","13290","5565","1037","1111","418","1593","0","3157","0","150","0","0","0","232","0","0","0"
"VP 2","dkphobos","Slardar","240","0.50","7576","905","2504","360","240","354","0","3116","0","0","0","0","0","0","0","0","0"
"VP 2","Lil","Earthshaker","155","0.33","4893","887","0","476","240","75","0","3157","0","0","0","0","0","66","0","0","0"
