"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EG","ppd","Winter Wyvern","294","0.56","13874","3036","847","1892","1460","17","0","4719","400","120","1000","0","0","314","0","0","100"
"EG","Sumail","Timbersaw","567","1.08","26758","10804","3409","938","1460","3970","0","4719","400","0","1000","0","0","116","0","0","0"
"EG","Universe","Doom","452","0.86","21331","3649","2488","745","1460","2692","276","4719","400","0","1000","0","0","519","0","3425","0"
"EG","Fear","Bane","290","0.55","13686","569","2280","2300","1710","420","44","4719","400","0","1000","0","0","180","0","0","100"
"EG","Arteezy","Tiny","656","1.25","30958","11215","3176","522","2434","2407","3723","4719","892","0","1355","0","0","568","0","0","0"
"CDEC","Q","Ancient Apparition","306","0.58","14441","1960","2048","1035","320","620","0","4719","0","0","0","3420","0","95","0","0","250"
"CDEC","xZ","Tusk","324","0.62","15290","6424","1910","811","320","789","0","4685","0","0","0","0","0","344","0","0","0"
"CDEC","Garder","Spirit Breaker","230","0.44","10854","1221","2764","1465","320","341","0","4719","0","0","0","0","0","0","0","0","50"
"CDEC","ShiKi","Dragon Knight","302","0.58","14252","5918","1514","551","521","713","264","4719","0","0","0","0","0","0","0","0","100"
"CDEC","Agressif","Ember Spirit","404","0.77","19066","11325","0","758","320","1882","0","4655","0","0","0","0","0","86","0","0","50"
