"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EG","ppd","Winter Wyvern","292","0.62","8624","1203","0","1908","1120","129","0","2954","400","210","500","0","0","164","0","0","50"
"EG","Sumail","Templar Assassin","713","1.50","21058","5156","3865","741","1705","1535","2767","2954","1136","210","625","0","0","396","0","0","0"
"EG","Universe","Dark Seer","430","0.91","12700","3504","1703","708","1120","1417","0","2954","400","90","630","0","0","192","0","0","0"
"EG","Fear","Undying","318","0.67","9392","874","1313","2194","1120","32","0","2954","400","0","500","0","0","0","0","0","0"
"EG","Arteezy","Gyrocopter","527","1.11","15565","5672","3061","810","1120","583","0","2954","400","372","500","0","0","105","0","0","0"
"VP 2","Fng","Dazzle","216","0.46","6380","703","332","1845","320","43","0","2954","0","0","0","0","0","0","0","0","200"
"VP 2","Illidan","Huskar","321","0.68","9481","2307","2583","501","320","528","0","2954","0","300","0","0","0","0","0","0","0"
"VP 2","G","Ember Spirit","407","0.86","12021","5690","1809","521","320","255","0","2954","0","83","0","0","0","414","0","0","0"
"VP 2","dkphobos","Earthshaker","327","0.69","9658","3599","897","1344","320","350","0","2954","0","150","0","0","0","0","0","0","50"
"VP 2","Lil","Tusk","228","0.48","6734","1626","871","899","320","15","0","2954","0","0","0","0","0","54","0","0","0"
