"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EG","ppd","Winter Wyvern","270","0.52","12166","2204","465","1482","1880","210","0","4506","200","210","500","0","0","118","0","0","0"
"EG","Sumail","Storm Spirit","508","0.99","22889","5779","3830","1392","2117","3675","0","4506","200","90","500","0","0","396","0","0","0"
"EG","Universe","Beastmaster","409","0.79","18429","5536","1302","2352","2690","618","0","4506","200","0","606","0","0","180","0","0","50"
"EG","Fear","Bane","302","0.59","13608","2161","2201","1207","1880","291","0","4506","200","90","500","0","0","0","0","0","150"
"EG","Arteezy","Juggernaut","593","1.15","26719","9178","2978","1208","2144","3407","1846","4474","540","270","500","0","0","196","0","0","0"
"Secret","Puppey","Disruptor","236","0.46","10634","1289","0","2912","1080","371","0","4444","200","91","0","0","0","0","0","0","200"
"Secret","MiSeRY","Magnus","329","0.64","14824","3915","1350","2506","1080","445","0","4443","200","536","0","0","0","309","0","0","0"
"Secret","Eternal Envy","Ember Spirit","497","0.97","22394","9662","2833","810","1294","1548","685","4366","200","730","0","0","0","196","0","0","0"
"Secret","w33","Windranger","443","0.86","19961","6534","4224","1105","1884","102","229","4440","524","409","0","0","0","499","0","0","0"
"Secret","PieLieDie","Tusk","259","0.50","11670","1776","0","3774","1080","107","0","4506","200","273","0","0","0","0","0","0","0"
