"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Vega","Cema","Dazzle","242","0.48","9597","2146","292","1000","980","217","0","3966","606","212","0","0","0","111","0","0","100"
"Vega","Solo","Undying","212","0.42","8407","1192","292","787","980","161","0","3966","400","317","0","0","0","54","0","0","0"
"Vega","Noone","Windranger","433","0.87","17171","7796","1924","475","1396","715","0","3966","400","313","0","0","0","236","0","0","0"
"Vega","Mag","Clockwerk","304","0.61","12055","4011","1003","878","980","223","0","3966","664","367","0","0","0","0","0","0","0"
"Vega","9pashaebashu","Gyrocopter","465","0.93","18440","8802","647","519","1379","1186","1032","3966","400","535","0","0","0","0","0","0","0"
"EG","ppd","Ancient Apparition","192","0.38","7614","702","0","701","1320","0","0","3966","200","125","500","0","0","58","0","0","50"
"EG","Sumail","Queen of Pain","519","1.04","20581","6903","1500","1144","1476","3761","0","3966","200","300","500","0","0","859","0","0","0"
"EG","Universe","Beastmaster","450","0.90","17845","6354","2328","1357","1520","948","0","3966","200","600","500","0","0","0","0","0","100"
"EG","Fear","Bane","253","0.51","10033","415","1392","1250","1320","565","0","3966","200","150","500","0","0","294","0","0","0"
"EG","Arteezy","Anti Mage","808","1.62","32041","12688","3109","292","2292","3331","4570","3966","499","403","761","0","0","183","0","0","0"
