"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EG","ppd","Vengeful Spirit","235","0.47","8761","88","260","1304","1400","264","120","3728","600","400","500","0","0","122","0","0","0"
"EG","Sumail","Doom","442","0.89","16477","4117","949","628","1738","1791","0","3728","600","100","500","0","0","0","0","2350","0"
"EG","Universe","Clockwerk","316","0.64","11780","2422","1133","972","1649","182","0","3728","925","100","500","0","0","218","0","0","0"
"EG","Fear","Night Stalker","330","0.66","12302","1126","1121","1354","1400","1374","331","3728","600","490","610","0","0","156","0","0","50"
"EG","Arteezy","Shadow Fiend","673","1.35","25089","9890","4059","352","1824","1854","649","3728","952","910","500","0","0","404","0","0","0"
"CDEC","Q","Visage","298","0.60","11109","926","2436","1541","906","850","0","3728","0","26","0","0","560","0","0","0","150"
"CDEC","xZ","Tusk","274","0.55","10214","3062","1388","835","680","238","0","3643","0","0","0","0","256","54","0","0","0"
"CDEC","Garder","Bounty Hunter","299","0.60","11146","716","1934","1072","680","276","0","3668","0","0","0","0","2430","282","0","0","50"
"CDEC","ShiKi","Lina","452","0.91","16850","7486","1334","1011","680","1527","309","3728","0","0","0","0","360","436","0","0","0"
"CDEC","Agressif","Lifestealer","433","0.87","16142","7359","818","1475","1298","640","566","3707","0","16","0","0","280","0","0","0","0"
