"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Vega","Cema","Ancient Apparition","239","0.41","14465","2382","2106","1102","1534","199","77","6052","660","0","225","0","0","98","0","0","100"
"Vega","Solo","Tusk","275","0.47","16644","3673","1329","1904","1320","1283","58","5979","400","0","225","0","0","471","0","0","0"
"Vega","Noone","Queen of Pain","460","0.78","27840","10710","2431","1338","1320","3851","486","6052","676","0","225","0","0","632","0","0","150"
"Vega","Mag","Slardar","347","0.59","21001","4883","2138","1798","1320","2634","1341","5968","400","0","225","0","0","227","0","0","50"
"Vega","9pashaebashu","Ember Spirit","562","0.96","34013","15704","2766","1099","1756","3605","1778","5989","400","0","374","0","0","478","0","0","50"
"EG","ppd","Dazzle","253","0.43","15312","2451","0","3276","1824","208","0","5995","200","110","1139","0","0","0","0","0","100"
"EG","Sumail","Lina","571","0.97","34558","14250","4599","1726","1280","4355","472","5841","582","90","973","0","0","245","0","0","0"
"EG","Universe","Nyx Assassin","272","0.46","16462","3293","1735","2367","1400","243","0","5952","200","120","1000","0","0","0","0","0","100"
"EG","Fear","Bane","223","0.38","13496","681","445","2807","1400","461","0","5989","200","90","1000","0","0","300","0","0","100"
"EG","Arteezy","Sven","657","1.12","39763","16262","5698","1021","1622","3136","4047","5895","200","120","1000","0","0","695","0","0","0"
